video_id,label,dataset,method,split,n_crops
celeb-df-v2__YouTube-real__00122,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00017,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00191,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00183,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00025,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00283,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00156,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00185,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00011,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00257,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00097,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00123,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00180,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00173,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00225,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00298,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00086,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00028,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00037,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00164,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00020,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00270,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00228,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00126,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00092,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00280,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00143,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00022,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00197,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00042,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00080,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00090,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00211,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00213,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00107,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00041,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00095,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00266,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00205,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00115,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00165,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00195,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00053,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00108,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00254,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00057,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00033,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00244,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00064,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00085,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00285,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00046,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00200,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00065,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00250,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00124,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00224,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00016,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00286,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00201,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00212,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00239,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00293,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00002,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00084,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00111,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00221,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00206,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00236,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00246,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00102,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00177,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00073,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00104,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00188,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00031,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00051,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00247,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00153,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00167,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00251,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00287,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00146,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00094,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00263,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00044,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00130,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00067,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00169,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00079,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00054,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00049,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00089,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00136,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00048,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00281,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00171,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00134,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00082,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00071,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00005,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00233,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00175,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00043,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00007,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00299,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00137,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00055,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00040,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00099,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00145,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00189,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00142,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00015,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00291,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00004,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00160,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00026,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00234,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00210,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00098,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00240,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00118,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00203,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00265,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00062,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00135,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00158,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00074,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00217,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00113,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00295,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00070,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00218,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00052,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00252,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00050,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00056,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00112,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00276,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00264,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00157,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00083,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00087,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00125,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00190,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00109,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00030,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00119,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00232,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00091,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00168,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00027,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00000,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00018,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00154,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00166,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00253,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00159,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00181,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00023,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00009,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00103,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00114,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00274,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00151,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00290,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00021,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00117,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00292,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00045,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00256,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00231,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00258,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00214,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00163,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00184,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00029,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00176,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00273,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00222,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00006,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00101,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00199,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00294,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00271,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00047,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00284,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00132,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00278,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00172,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00068,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00187,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00105,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00174,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00161,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00182,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00014,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00035,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00075,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00226,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00275,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00001,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00179,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00245,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00076,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00019,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00208,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00144,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00131,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00039,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00013,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00272,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00066,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00155,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00081,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00178,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00077,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00138,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00032,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00193,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__Celeb-synthesis__id51_id50_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id52_id55_0005,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id44_id48_0000,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id37_id3_0003,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id39_id44_0006,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id3_id1_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id20_id16_0007,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id23_id1_0003,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id31_id16_0003,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id11_id7_0001,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id23_id38_0006,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id43_id41_0009,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id2_id1_0006,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id49_id58_0009,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id48_id43_0007,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id49_id55_0002,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id40_id46_0000,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id32_id38_0006,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id17_id37_0001,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id23_id6_0000,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id17_id23_0005,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id46_id43_0009,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id49_id51_0004,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id29_id35_0003,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id30_id23_0003,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id37_id33_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id28_id27_0009,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id17_id6_0006,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id6_id16_0009,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id55_id52_0001,1,celeb-df-v2,Celeb-synthesis,train,8
